Postion reports are stored here
1701211301||username||0.0004||0.014||4||0
1701211302||username||0.0004||0.014||4||0
1701211322||username||0.0004||0.014||4||0
1701211342||username||0.0004||0.014||4||0
1701211362||username||0.0004||0.014||4||0
1701211382||username||0.0004||0.014||4||0
1701211402||username||0.0004||0.014||4||0
1701211422||username||8.4796||-83.59||72||0
1701211442||username||8.4786||-83.5906||74||0
1701211462||username||8.4786||-83.5906||74||0
1701211482||username||8.4786||-83.5906||74||0
1701211502||username||8.4786||-83.5906||74||0
1701211522||username||8.4782||-83.5909||74||27
1701211542||username||8.4736||-83.5935||70||84
1701211562||username||8.4651||-83.5972||112||112
1701211582||username||8.4547||-83.5947||208||118
1701211602||username||8.4497||-83.5854||474||111
1701211622||username||8.4463||-83.576||824||101
1701211642||username||8.4415||-83.568||1082||105
1701211662||username||8.4325||-83.5639||1205||114
1701211682||username||8.4227||-83.5612||1474||111
1701211702||username||8.4189||-83.5522||1711||91
1701211722||username||8.4157||-83.5436||1793||93
1701211742||username||8.414||-83.5345||1832||92
1701211762||username||8.4164||-83.5255||1738||109
1701211782||username||8.4232||-83.5216||1895||95
1701211801||username||8.43||-83.5175||1793||93
1701211802||username||8.4303||-83.5172||1780||94
1701211821||username||8.4337||-83.5101||1684||90
1701211841||username||8.4347||-83.5018||1587||86
1701211861||username||8.4358||-83.4935||1424||90
1701211881||username||8.434||-83.4855||1315||90
1701211901||username||8.4322||-83.4774||1167||92
1701211921||username||8.4275||-83.4706||1081||87
1701211941||username||8.423||-83.4637||961||88
1701211961||username||8.4198||-83.4563||843||89
1701211981||username||8.4204||-83.4482||741||88
1701212001||username||8.423||-83.4404||628||87
1701212021||username||8.4253||-83.4327||525||87
1701212041||username||8.4316||-83.4288||299||94
1701212041||username||8.4317||-83.4288||296||94
1701212041||username||8.4318||-83.4289||292||94
1701212041||username||8.4319||-83.4289||289||95
1701212042||username||8.432||-83.429||286||95
1701212061||username||8.4356||-83.4357||229||85
1701212061||username||8.4356||-83.4357||226||85
1701212061||username||8.4356||-83.4358||224||85
1701212061||username||8.4356||-83.4359||222||86
1701212061||username||8.4357||-83.436||220||86
1701212081||username||8.4373||-83.4433||363||79
1701212081||username||8.4373||-83.4434||362||79
1701212081||username||8.4373||-83.4434||362||79
1701212081||username||8.4373||-83.4435||362||79
1701212082||username||8.4373||-83.4436||363||79
1701212101||username||8.4399||-83.4492||406||73
1701212101||username||8.44||-83.4493||404||73
1701212101||username||8.44||-83.4493||401||73
1701212101||username||8.44||-83.4494||398||73
1701212102||username||8.44||-83.4494||396||73
1701212121||username||8.4413||-83.4558||101||72
1701212121||username||8.4413||-83.4559||98||72
1701212121||username||8.4413||-83.4559||95||72
1701212121||username||8.4413||-83.456||92||72
1701212122||username||8.4414||-83.4561||89||72
1701212142||username||8.4424||-83.4612||15||22
1701212162||username||8.4427||-83.4621||14||8
1701212182||username||8.4428||-83.4621||14||0
1701212202||username||8.4428||-83.4621||14||0
1701212222||username||8.4428||-83.4621||14||0
1701212242||username||8.4428||-83.4621||14||0
1701212262||username||8.4428||-83.4621||14||0
1701212282||username||8.4428||-83.4621||14||0
1701212302||username||8.4428||-83.4621||14||0
1701212322||username||8.4428||-83.4621||14||0
1701212342||username||8.4428||-83.4621||14||0
1701212362||username||8.4428||-83.4621||14||0
1701212382||username||8.4428||-83.4621||14||0
1701212402||username||0.0004||0.014||4||0
1701212422||username||0.0004||0.014||4||0
1701212442||username||0.0004||0.014||4||0
1701212461||username||0.0004||0.014||4||0
1701212462||username||0.0004||0.014||4||0
1701212482||username||0.0004||0.014||4||0
1701215959||username||48.5173||-123.0243||87||0
1701215960||username||48.5173||-123.0243||87||0
1701215980||username||48.5173||-123.0243||87||0
1701216000||username||48.5174||-123.0243||87||3
1701216020||username||48.5181||-123.0241||88||20
1701216039||username||48.5221||-123.0244||103||70
1701216059||username||48.5298||-123.0249||270||87
1701216079||username||48.5369||-123.0276||687||70
1701216099||username||48.5401||-123.0376||674||105
1701216119||username||48.544||-123.0513||1035||83
